place,state,country,latitude,longitude,picture
Doodhpathri, Jammu and Kashmir, India, 33.850910593613634, 74.56334900191919, \images\Doodhpathri.jpg
Charar-i-Sharief, Jammu and Kashmir, India, 33.86460858568338, 74.76689856451053, \images\Sharief.jpg
Nainital, Uttarakhand, India, 29.391717377983607, 79.45458263344291, \images\Nainital.JPG
Kathgodam, Uttarakhand, India, 29.267053795549074, 79.546620107727483, \images\Kathgodam.JPG
Chaukori, Uttarakhand, India, 29.837451647051868, 80.03241773871214, \images\Chaukori.JPG
Munsiyari, Uttarakhand, India, 30.063992834968268, 80.23681513156589, \images\Munsiyari.JPG
Kausani, Uttarakhand, India, 29.844677535917278, 79.60353780160082, \images\Kausani.JPG
Bageshwar, Uttarakhand, India, 29.905972527387284, 79.64222092896732, \images\Bageshwar.JPG
Ghorakal, Uttarakhand, India, 29.379966792361152, 79.56700656466188, \images\Ghorakal.JPG
Birthi, Uttarakhand, India, 30.040131034185872, 80.16157951024013, \images\Birthi.JPG
Kalamuni Top, Uttarakhand, India, 30.03745678200591, 80.19968262073483, \images\Kalamuni.JPG
Ranikhet, Uttarakhand, India, 29.665297614555747, 79.4709201537819, \images\Ranikhet.JPG
Tehri, Uttarakhand, India, 30.406232262847478, 78.47827041228823, \images\Tehri.JPG
Mussoorie, Uttarakhand, India, 30.463595058696814, 78.06819889882429, \images\Mussoorie.jpg
Rudraprayag, Uttarakhand, India, 30.285464963688604, 78.98263330227793, \images\Rudraprayag.jpg
Chopta, Uttarakhand, India, 30.35416915370442, 78.41913802393884, \images\Chopta.jpg
Dagar, Uttarakhand, India, 30.279435260472955, 78.59986207551331, \images\Dagar.jpg
Ukhimath, Uttarakhand, India, 30.514661863402374, 79.09574740963016, \images\Ukhimath.jpg
Auli, Uttarakhand, India, 30.53192070867007, 79.57060420374627, \images\Auli.jpg
Vishnuprayag, Uttarakhand, India, 30.56315910180783, 79.57732773839788, \images\Vishnuprayag.jpg
Badrinath, Uttarakhand, India, 30.74276164835281, 79.4917359667167, \images\Badrinath.jpg
Mana, Uttarakhand, India, 30.772357537452677, 79.49515515007283, \images\Mana.jpg
Nandprayag, Uttarakhand, India, 30.32928645633064, 79.3204468772176, \images\Nandprayag.jpg
Khirsu, Uttarakhand, India, 30.172616793874813, 78.86767342271071, \images\Khirsu.jpg
Devprayag, Uttarakhand, India, 30.146249609038982, 78.60009673907935, \images\Devprayag.jpg
Rishikesh, Uttarakhand, India, 30.08853669728483, 78.28352027107373, \images\Rishikesh.jpg
Haridwar, Uttarakhand, India, 29.9419147888612, 78.16398508115921, \images\Haridwar.jpg
Gangotri, Uttarakhand, India, 30.994946266118227, 78.94130579368381, \images\Gangotri.jpg
Harsil, Uttarakhand, India, 31.04010161213563, 78.73771532494145, \images\Harsil.jpg
Kedarnath, Uttarakhand, India, 30.735108486563917, 79.06672055059249, \images\Kedarnath.jpg
Jakholi, Uttarakhand, India, 30.394596805681925, 78.89703858809023, \images\Jakholi.jpg
Uttarkashi, Uttarakhand, India, 30.73055891018505, 78.42772571932642, \images\Uttarkashi.jpg
Landour, Uttarakhand, India, 30.455612718813313, 78.10178878969832, \images\Landour.jpg
New Delhi, New Delhi, India, 28.635813907041612, 77.24002099523051,\images\Delhi.jpg
